INSTNM,CITY,STABBR,INSTURL,ADM_RATE,ADM_RATE_ALL,SAT_AVG,ACTCMMID,Agriculture,CIP03BACHL,Architecture,CIP05BACHL,Communications/Journalism,CIP10BACHL,Computer and Information Sciences,Culinary Services,Education,Engineering,CIP15BACHL,CIP16BACHL,CIP19BACHL,Legal Professions and Studies,English Language and Literature,Liberal Arts and Sciences,CIP25BACHL,Biological and Biomedical Sciences,Mathematics and Statistics,CIP29BACHL,CIP30BACHL,CIP31BACHL,Philosophy and Religious Studies,CIP39BACHL,CIP40BACHL,CIP41BACHL,Psychology,CIP43BACHL,CIP44BACHL,Social Sciences,CIP46BACHL,CIP47BACHL,CIP48BACHL,CIP49BACHL,Visual and Performing Arts,CIP51BACHL,Business,History,COSTT4_A
Spartanburg Methodist College,Spartanburg,SC,www.smcsc.edu/,0.6563,0.656322731,870,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28019
Spartanburg Community College,Spartanburg,SC,www.sccsc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13220
Central Carolina Technical College,Sumter,SC,www.cctech.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13248
Sumter Beauty College,Sumter,SC,www.sumterbeautycollege.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Tri-County Technical College,Pendleton,SC,www.tctc.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16621
Trident Technical College,Charleston,SC,www.tridenttech.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13943
Voorhees College,Denmark,SC,www.voorhees.edu,0.5004,0.500360231,NULL,NULL,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,24486
Williamsburg Technical College,Kingstree,SC,www.wiltech.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14183
Winthrop University,Rock Hill,SC,www.winthrop.edu,0.7118,0.71183458,1053,23,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,25095
Wofford College,Spartanburg,SC,www.wofford.edu,0.7739,0.773865415,1194,27,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,49150
York Technical College,Rock Hill,SC,www.yorktech.edu,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13617
Augustana University,Sioux Falls,SD,www.augie.edu,0.6129,0.612944984,1162,26,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,37968
Black Hills Beauty College,Rapid City,SD,www.bhbeautycollege.com,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Black Hills State University,Spearfish,SD,www.bhsu.edu,0.941,0.94100295,951,20,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,2,1,17034
